NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,0,0,0,0
-0.16937,0.83113,11.527,-0.37788,-0.37788,10.726,-0.047845,-5.8423
0.3939,0.58276,12.984,-0.92306,-0.92306,9.146,-0.45704,-5.8457
1.2388,0.49105,11.053,-0.78177,-0.78177,6.7972,3.5499,-1.1989
2.1653,0.13281,7.359,-0.020779,-0.020779,4.7198,-2.6695,6.5008
2.4945,-0.0167,5.3692,0.4593,0.4593,3.8513,2.3955,4.8856
2.7401,-0.10776,4.6608,0.54399,0.54399,3.434,-2.2738,0.91393
3.1062,0.097829,3.8424,0.48458,0.48458,3.0696,4.0792,2.9883
3.201,0.23793,3.2984,0.40237,0.40237,2.5882,-2.2413,2.3082
3.4813,0.28502,2.7058,0.24842,0.24842,2.066,4.2275,0.78234
3.6599,0.34495,2.1721,0.11013,0.11013,1.5593,4.3762,1.1931
3.7086,0.37159,1.6512,0.066298,0.066298,1.2428,4.2119,0.25678
3.8326,0.33009,1.2275,0.057014,0.057014,0.96261,3.7578,1.3018
3.8812,0.32128,0.94701,0.036109,0.036109,0.76853,4.2177,0.26561
4.0484,0.34306,0.63194,0.036281,0.036281,0.66997,4.1644,1.5121
4.1208,0.40143,0.43395,0.033905,0.033905,0.5931,4.2279,0.7294
4.0803,0.54222,0.32749,-0.025457,-0.025457,0.57705,4.0053,1.8686
4.2097,0.62551,0.2259,0.017289,0.017289,0.60578,4.2102,0.58999
4.2332,0.73992,0.18203,0.0074669,0.0074669,0.64348,3.5227,1.7167
4.2395,0.84961,0.19838,-0.0074488,-0.0074488,0.67757,3.559,2.7344
4.3317,1.0182,0.24604,0.023819,0.023819,0.7586,4.6784,2.1969
4.2959,1.1272,0.24635,0.030002,0.030002,0.86403,3.2974,3.3341
4.0423,1.1818,0.20907,0.018828,0.018828,0.98317,4.5161,2.5291
3.9396,1.3837,0.17786,0.04673,0.04673,1.1002,3.3948,3.3712
3.9681,1.6838,0.24647,0.0028419,0.0028419,1.0138,4.1805,1.4612
3.948,1.7118,0.17519,-0.062193,-0.062193,0.94063,4.2296,1.2038
3.9197,1.7055,0.20266,-0.11406,-0.11406,0.77864,4.0981,1.7602
3.9433,1.7147,0.16972,-0.13157,-0.13157,0.69032,4.2248,1.1801
