Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, avgAng, stddevDist, stddevAng, avgDistMax, avgAngMax, stddevDistMax, stddevAngMax
6.000000e-01,1,1.000000e-01,500,multinomial,3.676738e+00,1.703695e+00,-1.494697e+00,9.738259e-01,3.718454e+00,1.728466e+00,-1.456743e+00,1.032621e+00
6.000000e-01,1,1.000000e-01,500,systematic,4.215695e+00,1.629540e+00,-6.172953e-01,1.794178e+00,4.242074e+00,1.638715e+00,-6.024327e-01,1.778711e+00
6.000000e-01,1,1.000000e-01,500,stratified,2.773109e+00,1.613806e+00,-1.255620e+00,2.651716e-01,2.789103e+00,1.630060e+00,-1.260632e+00,2.653792e-01
6.000000e-01,1,1.000000e-01,500,residual,2.601751e+00,1.109961e+00,-1.560547e+00,4.659853e-01,2.637316e+00,1.141078e+00,-1.573710e+00,5.077850e-01
6.000000e-01,1,1.000000e-01,1000,multinomial,2.456701e+00,1.301408e+00,-1.443777e+00,1.064055e+00,2.504109e+00,1.339991e+00,-1.435377e+00,1.069158e+00
6.000000e-01,1,1.000000e-01,1000,systematic,3.003208e+00,1.376907e+00,-1.147244e+00,1.432239e+00,3.005105e+00,1.364505e+00,-1.313699e+00,1.299401e+00
6.000000e-01,1,1.000000e-01,1000,stratified,3.169693e+00,1.985148e+00,-1.180249e+00,1.073165e+00,3.187509e+00,2.003871e+00,-1.196887e+00,1.059262e+00
6.000000e-01,1,1.000000e-01,1000,residual,3.756477e+00,1.922679e+00,-1.262681e+00,1.312065e+00,3.750226e+00,1.921526e+00,-1.231721e+00,1.345570e+00
6.000000e-01,1,1.000000e-01,3000,multinomial,3.371476e+00,1.911879e+00,-1.280980e+00,1.051192e+00,3.393972e+00,1.922467e+00,-1.303939e+00,1.046727e+00
6.000000e-01,1,1.000000e-01,3000,systematic,3.564353e+00,2.027734e+00,-1.050178e+00,8.565539e-01,3.628123e+00,2.059178e+00,-1.085750e+00,8.447157e-01
6.000000e-01,1,1.000000e-01,3000,stratified,2.859348e+00,1.275026e+00,-1.209122e+00,2.744043e-01,2.884345e+00,1.302796e+00,-1.216417e+00,2.832946e-01
6.000000e-01,1,1.000000e-01,3000,residual,3.698801e+00,1.906017e+00,-9.758490e-01,8.604923e-01,3.747843e+00,1.915757e+00,-9.794605e-01,8.921596e-01
6.000000e-01,1,1.000000e-01,5000,multinomial,3.763148e+00,2.228492e+00,-8.827948e-01,1.060941e+00,3.793153e+00,2.214334e+00,-8.930542e-01,1.054691e+00
6.000000e-01,1,1.000000e-01,5000,systematic,3.678664e+00,1.933292e+00,-1.010895e+00,1.463938e+00,3.713565e+00,1.970211e+00,-1.055765e+00,1.406465e+00
6.000000e-01,1,1.000000e-01,5000,stratified,3.376534e+00,1.888657e+00,-1.237290e+00,1.088082e+00,3.410745e+00,1.919470e+00,-1.233199e+00,1.118892e+00
6.000000e-01,1,1.000000e-01,5000,residual,2.861352e+00,1.439032e+00,-1.614666e+00,5.023352e-01,2.920520e+00,1.486151e+00,-1.612777e+00,5.405818e-01
6.000000e-01,1,1.000000e-01,7500,multinomial,2.892170e+00,1.437447e+00,-1.297813e+00,3.786125e-01,2.899384e+00,1.448064e+00,-1.304221e+00,3.897236e-01
