Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, avgAng, stddevDist, stddevAng, avgDistMax, avgAngMax, stddevDistMax, stddevAngMax
5,1,1.000000e-01,500,multinomial,3.395846e+00,-1.392558e+00,1.805555e+00,1.060897e+00,3.479676e+00,-1.347438e+00,1.824914e+00,1.227761e+00
5,1,1.000000e-01,500,systematic,3.498361e+00,-1.365591e+00,1.799987e+00,1.203912e+00,3.501217e+00,-1.332791e+00,1.809140e+00,1.219679e+00
5,1,1.000000e-01,500,stratified,3.329395e+00,-1.424316e+00,1.738330e+00,1.085024e+00,3.464707e+00,-1.257310e+00,1.831206e+00,1.328950e+00
5,1,1.000000e-01,500,residual,3.147776e+00,-1.381557e+00,1.831665e+00,9.976042e-01,3.248607e+00,-1.351577e+00,1.835616e+00,1.107599e+00
5,1,1.000000e-01,1000,multinomial,3.214440e+00,-1.404405e+00,1.770129e+00,1.010844e+00,3.359561e+00,-1.386908e+00,1.795370e+00,1.115341e+00
5,1,1.000000e-01,1000,systematic,3.328056e+00,-1.406552e+00,1.751022e+00,1.037981e+00,3.435729e+00,-1.315478e+00,1.779798e+00,1.227562e+00
5,1,1.000000e-01,1000,stratified,3.256236e+00,-1.392145e+00,1.818697e+00,1.022608e+00,3.363235e+00,-1.386990e+00,1.811970e+00,1.111870e+00
5,1,1.000000e-01,1000,residual,3.348156e+00,-1.418374e+00,1.738592e+00,1.031493e+00,3.386588e+00,-1.355141e+00,1.799610e+00,1.172482e+00
5,1,1,500,multinomial,4.335319e+00,-6.222124e-01,3.115213e+00,1.265111e+00,5.362633e+00,-5.434360e-01,3.570721e+00,1.512965e+00
5,1,1,500,systematic,4.315221e+00,-5.499674e-01,3.093317e+00,1.296157e+00,5.324844e+00,-5.312127e-01,3.560594e+00,1.550265e+00
5,1,1,500,stratified,4.300584e+00,-6.064623e-01,3.107199e+00,1.278942e+00,4.990748e+00,-6.253025e-01,3.291992e+00,1.522013e+00
5,1,1,500,residual,4.335927e+00,-5.823205e-01,3.076584e+00,1.278481e+00,4.967277e+00,-6.327357e-01,3.385118e+00,1.537654e+00
5,1,1,1000,multinomial,4.341912e+00,-6.196216e-01,3.129849e+00,1.270293e+00,5.218797e+00,-5.366511e-01,3.445384e+00,1.580608e+00
5,1,1,1000,systematic,4.294704e+00,-5.942718e-01,3.113783e+00,1.278745e+00,5.258940e+00,-5.507520e-01,3.337187e+00,1.551808e+00
5,1,1,1000,stratified,4.318537e+00,-6.262658e-01,3.117578e+00,1.263723e+00,5.155590e+00,-5.827037e-01,3.386556e+00,1.575541e+00
5,1,1,1000,residual,4.348006e+00,-6.298540e-01,3.117056e+00,1.260011e+00,5.106661e+00,-6.122100e-01,3.462699e+00,1.549813e+00
5,2,1.000000e-01,500,multinomial,3.094127e+00,-1.380468e+00,1.795540e+00,9.852916e-01,3.288096e+00,-1.402101e+00,1.779877e+00,1.057753e+00
5,2,1.000000e-01,500,systematic,3.487478e+00,-1.176397e+00,1.765098e+00,1.320633e+00,3.586106e+00,-1.111054e+00,1.777321e+00,1.451797e+00
5,2,1.000000e-01,500,stratified,3.210803e+00,-1.405316e+00,1.755422e+00,1.019225e+00,3.348613e+00,-1.365887e+00,1.764172e+00,1.143762e+00
5,2,1.000000e-01,500,residual,3.280739e+00,-1.418715e+00,1.755897e+00,1.028633e+00,3.394041e+00,-1.395185e+00,1.792232e+00,1.140971e+00
5,2,1.000000e-01,1000,multinomial,3.387508e+00,-1.400319e+00,1.843475e+00,1.046756e+00,3.479309e+00,-1.212727e+00,1.878038e+00,1.315343e+00
5,2,1.000000e-01,1000,systematic,3.359228e+00,-1.407006e+00,1.774209e+00,1.062127e+00,3.411660e+00,-1.364219e+00,1.805303e+00,1.174466e+00
5,2,1.000000e-01,1000,stratified,3.344166e+00,-1.406144e+00,1.759436e+00,1.054320e+00,3.392109e+00,-1.351041e+00,1.806708e+00,1.194925e+00
5,2,1.000000e-01,1000,residual,3.287652e+00,-1.385676e+00,1.823763e+00,1.024333e+00,3.390348e+00,-1.357316e+00,1.823202e+00,1.186443e+00
5,2,1,500,multinomial,4.371205e+00,-5.669041e-01,3.100433e+00,1.300165e+00,5.138299e+00,-5.911406e-01,3.430559e+00,1.536781e+00
5,2,1,500,systematic,4.372068e+00,-5.960706e-01,3.094964e+00,1.261760e+00,5.204570e+00,-5.321800e-01,3.372121e+00,1.513143e+00
5,2,1,500,stratified,4.366759e+00,-6.289330e-01,3.078642e+00,1.258163e+00,5.158189e+00,-5.714120e-01,3.290133e+00,1.537490e+00
5,2,1,500,residual,4.294601e+00,-6.312578e-01,3.083566e+00,1.262485e+00,5.115428e+00,-6.200289e-01,3.386781e+00,1.541387e+00
5,2,1,1000,multinomial,4.305438e+00,-6.128480e-01,3.111811e+00,1.265376e+00,5.179839e+00,-5.680411e-01,3.419082e+00,1.554338e+00
5,2,1,1000,systematic,4.297578e+00,-6.669698e-01,3.115989e+00,1.246218e+00,5.089856e+00,-5.725816e-01,3.244197e+00,1.587498e+00
5,2,1,1000,stratified,4.332071e+00,-6.145618e-01,3.113483e+00,1.262741e+00,5.197905e+00,-5.416689e-01,3.331507e+00,1.583811e+00
5,2,1,1000,residual,4.286979e+00,-6.427177e-01,3.101068e+00,1.256085e+00,5.010242e+00,-6.068769e-01,3.343003e+00,1.567682e+00
10,1,1.000000e-01,500,multinomial,3.887834e+00,-1.204052e+00,2.030205e+00,1.559886e+00,4.167460e+00,-8.191076e-01,2.383246e+00,1.791805e+00
10,1,1.000000e-01,500,systematic,3.545344e+00,-1.272166e+00,2.024579e+00,1.427953e+00,3.952697e+00,-9.405826e-01,2.449880e+00,1.675049e+00
10,1,1.000000e-01,500,stratified,3.557356e+00,-1.374495e+00,1.893993e+00,1.310027e+00,3.974188e+00,-1.002962e+00,2.272320e+00,1.688503e+00
10,1,1.000000e-01,500,residual,3.958741e+00,-1.138092e+00,2.083180e+00,1.660303e+00,4.272873e+00,-8.868398e-01,2.460729e+00,1.786013e+00
10,1,1.000000e-01,1000,multinomial,3.495577e+00,-1.296885e+00,1.993095e+00,1.377082e+00,3.877471e+00,-9.654798e-01,2.383309e+00,1.655364e+00
10,1,1.000000e-01,1000,systematic,3.757511e+00,-1.307184e+00,1.977586e+00,1.481447e+00,4.113661e+00,-9.473328e-01,2.362557e+00,1.761277e+00
10,1,1.000000e-01,1000,stratified,3.868751e+00,-1.241805e+00,2.111219e+00,1.516049e+00,4.226375e+00,-7.417425e-01,2.549143e+00,1.826000e+00
10,1,1.000000e-01,1000,residual,3.830469e+00,-1.417224e+00,1.876456e+00,1.409114e+00,4.155986e+00,-9.463401e-01,2.315174e+00,1.800308e+00
10,1,1,500,multinomial,4.155089e+00,-6.723017e-01,2.852590e+00,1.218287e+00,4.988809e+00,-5.525206e-01,3.345741e+00,1.666361e+00
10,1,1,500,systematic,4.185002e+00,-6.610942e-01,2.854837e+00,1.216391e+00,5.121633e+00,-5.150732e-01,3.472486e+00,1.674866e+00
10,1,1,500,stratified,4.166673e+00,-6.616118e-01,2.882881e+00,1.246950e+00,5.080983e+00,-5.103041e-01,3.370436e+00,1.654446e+00
10,1,1,500,residual,4.166381e+00,-6.598237e-01,2.885603e+00,1.242527e+00,5.069695e+00,-5.818055e-01,3.416224e+00,1.656507e+00
10,1,1,1000,multinomial,4.155637e+00,-6.715234e-01,2.873632e+00,1.236034e+00,5.123039e+00,-5.131048e-01,3.376827e+00,1.690592e+00
10,1,1,1000,systematic,4.147804e+00,-6.638941e-01,2.871714e+00,1.228445e+00,5.130256e+00,-5.609544e-01,3.448420e+00,1.641130e+00
10,1,1,1000,stratified,4.166276e+00,-6.748464e-01,2.875322e+00,1.218771e+00,5.146665e+00,-5.575051e-01,3.396263e+00,1.650535e+00
10,1,1,1000,residual,4.154396e+00,-6.579411e-01,2.855099e+00,1.229363e+00,5.084101e+00,-5.528544e-01,3.430352e+00,1.662477e+00
10,2,1.000000e-01,500,multinomial,4.004622e+00,-1.035658e+00,2.169751e+00,1.696343e+00,4.335303e+00,-7.820170e-01,2.574943e+00,1.848554e+00
10,2,1.000000e-01,500,systematic,4.002676e+00,-1.092151e+00,2.075715e+00,1.734634e+00,4.339906e+00,-7.047879e-01,2.490537e+00,1.868357e+00
10,2,1.000000e-01,500,stratified,3.815889e+00,-1.339924e+00,1.946487e+00,1.475906e+00,4.117072e+00,-9.518970e-01,2.279200e+00,1.788994e+00
10,2,1.000000e-01,500,residual,3.767189e+00,-1.296265e+00,2.005349e+00,1.505024e+00,4.127992e+00,-9.042891e-01,2.364643e+00,1.770672e+00
