Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, avgAng, stddevDist, stddevAng, avgDistMax, avgAngMax, stddevDistMax, stddevAngMax
5,1,1.000000e-01,500,multinomial,3.273467e+00,-1.384321e+00,1.812202e+00,1.018683e+00,3.373608e+00,-1.394063e+00,1.819997e+00,1.087916e+00
5,1,1.000000e-01,1000,multinomial,3.272814e+00,-1.387526e+00,1.768741e+00,1.019950e+00,3.369967e+00,-1.343904e+00,1.843655e+00,1.146303e+00
5,1,1,500,multinomial,4.324948e+00,-6.245690e-01,3.113441e+00,1.266665e+00,5.124466e+00,-6.328078e-01,3.374853e+00,1.514751e+00
5,1,1,1000,multinomial,4.290415e+00,-6.224215e-01,3.101636e+00,1.257469e+00,5.035781e+00,-5.682910e-01,3.260385e+00,1.565293e+00
5,2,1.000000e-01,500,multinomial,3.510770e+00,-1.188335e+00,1.815790e+00,1.333200e+00,3.557249e+00,-1.167602e+00,1.822026e+00,1.408554e+00
5,2,1.000000e-01,1000,multinomial,3.387962e+00,-1.411180e+00,1.771304e+00,1.052227e+00,3.480101e+00,-1.234144e+00,1.827817e+00,1.332056e+00
5,2,1,500,multinomial,4.353705e+00,-6.028152e-01,3.066004e+00,1.289220e+00,5.244417e+00,-5.563712e-01,3.409829e+00,1.508377e+00
5,2,1,1000,multinomial,4.308923e+00,-6.361653e-01,3.132001e+00,1.265503e+00,5.176075e+00,-5.475137e-01,3.337233e+00,1.578814e+00
10,1,1.000000e-01,500,multinomial,3.690404e+00,-1.386561e+00,1.872339e+00,1.419268e+00,3.973569e+00,-1.140345e+00,2.263295e+00,1.621794e+00
10,1,1.000000e-01,1000,multinomial,3.943341e+00,-1.115757e+00,2.103761e+00,1.670218e+00,4.285743e+00,-8.650433e-01,2.467751e+00,1.785381e+00
10,1,1,500,multinomial,4.191897e+00,-6.431931e-01,2.881866e+00,1.232785e+00,5.079769e+00,-5.246489e-01,3.346374e+00,1.703022e+00
10,1,1,1000,multinomial,4.159078e+00,-6.708592e-01,2.877773e+00,1.229455e+00,5.174237e+00,-4.876008e-01,3.456029e+00,1.676747e+00
10,2,1.000000e-01,500,multinomial,3.721892e+00,-1.362270e+00,1.905005e+00,1.409594e+00,4.029805e+00,-9.945931e-01,2.328577e+00,1.732368e+00
10,2,1.000000e-01,1000,multinomial,3.500005e+00,-1.306371e+00,2.073599e+00,1.399800e+00,3.920254e+00,-9.591643e-01,2.402037e+00,1.670199e+00
10,2,1,500,multinomial,4.141168e+00,-6.734294e-01,2.876143e+00,1.210106e+00,5.163840e+00,-5.582324e-01,3.414929e+00,1.671491e+00
10,2,1,1000,multinomial,4.111964e+00,-6.675048e-01,2.864287e+00,1.222583e+00,5.054204e+00,-5.838373e-01,3.407219e+00,1.642734e+00
