Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
2.00E-01,1,1.00E-01,250,stratified,1.56E+00,5.87E-01,-1.80E+00,3.34E-01,1.63E+00,6.53E-01,-1.78E+00,6.16E-01
1.00E-01,1,1.00E-01,7500,multinomial,2.15E+00,7.69E-01,-1.67E+00,9.00E-01,2.10E+00,8.83E-01,-1.70E+00,9.49E-01
2.00E-01,1,1.00E-01,250,residual,2.34E+00,1.33E+00,-1.43E+00,3.14E-01,2.37E+00,1.33E+00,-1.41E+00,3.58E-01
1.00E-01,1,1.00E-01,5000,systematic,2.51E+00,1.07E+00,-1.42E+00,1.50E-01,2.51E+00,1.12E+00,-1.41E+00,2.11E-01
4.00E-01,1,1.00E-01,3000,stratified,2.60E+00,1.75E+00,-1.70E+00,4.25E-01,2.65E+00,1.78E+00,-1.60E+00,7.34E-01
1.00E-01,1,1.00E-01,1000,stratified,2.90E+00,1.22E+00,-6.86E-01,1.22E+00,2.75E+00,1.43E+00,-8.00E-01,1.24E+00
4.00E-01,1,1.00E-01,500,systematic,2.73E+00,1.54E+00,-1.47E+00,1.03E+00,2.77E+00,1.55E+00,-1.43E+00,1.06E+00
3.00E-01,1,1.00E-01,500,systematic,2.85E+00,1.94E+00,-1.37E+00,3.77E-01,2.87E+00,1.93E+00,-1.36E+00,4.04E-01
4.00E-01,1,1.00E-01,250,systematic,2.86E+00,1.84E+00,-1.69E+00,5.91E-01,2.90E+00,1.82E+00,-1.59E+00,8.71E-01
4.00E-01,1,1.00E-01,250,stratified,2.89E+00,1.72E+00,-1.49E+00,3.40E-01,2.90E+00,1.71E+00,-1.48E+00,3.71E-01
5.00E-01,1,1.00E-01,500,systematic,3.04E+00,2.04E+00,-1.20E+00,2.72E-01,3.05E+00,2.03E+00,-1.20E+00,2.94E-01
2.00E-01,1,1.00E-01,500,stratified,3.12E+00,1.81E+00,-1.41E+00,1.58E-01,3.14E+00,1.80E+00,-1.37E+00,3.99E-01
1.00E-01,1,1.00E-01,500,residual,3.17E+00,8.91E-01,-1.17E+00,1.42E+00,3.18E+00,9.20E-01,-1.01E+00,1.53E+00
5.00E-01,1,1.00E-01,1000,stratified,3.10E+00,2.07E+00,-1.04E+00,4.52E-01,3.18E+00,2.04E+00,-1.01E+00,5.36E-01
3.00E-01,1,1.00E-01,7500,systematic,3.14E+00,1.99E+00,-1.14E+00,3.17E-01,3.22E+00,1.98E+00,-1.01E+00,6.01E-01
1.00E-01,1,1.00E-01,3000,residual,3.17E+00,9.68E-01,-8.24E-01,1.12E+00,3.23E+00,9.16E-01,-6.93E-01,1.28E+00
1.00E-01,1,7.00E-01,1000,stratified,2.70E+00,1.91E+00,-1.28E+00,5.34E-01,3.25E+00,2.05E+00,-9.87E-01,1.15E+00
2.00E-01,1,1.00E-01,1000,stratified,3.25E+00,1.98E+00,-1.23E+00,3.91E-01,3.26E+00,1.97E+00,-1.24E+00,3.99E-01
7.50E-01,1,5.00E-01,250,multinomial,2.88E+00,2.02E+00,-1.17E+00,8.29E-01,3.30E+00,1.98E+00,-9.96E-01,1.16E+00
4.00E-01,1,5.00E-01,250,residual,2.84E+00,2.05E+00,-1.27E+00,5.31E-01,3.33E+00,2.11E+00,-1.01E+00,1.03E+00
2.00E-01,1,1.00E-01,7500,multinomial,3.21E+00,2.07E+00,-1.12E+00,3.20E-01,3.34E+00,1.99E+00,-9.11E-01,7.77E-01
5.00E-01,1,7.00E-01,500,systematic,2.76E+00,1.84E+00,-1.28E+00,5.66E-01,3.36E+00,2.02E+00,-1.01E+00,1.18E+00
1.00E-01,1,7.00E-01,500,stratified,2.93E+00,2.36E+00,-1.28E+00,6.36E-01,3.37E+00,2.37E+00,-9.95E-01,1.13E+00
1.00E-01,1,7.00E-01,250,systematic,3.03E+00,1.81E+00,-1.34E+00,8.08E-01,3.39E+00,1.90E+00,-1.08E+00,1.27E+00
1,1,5.00E-01,250,residual,2.79E+00,2.40E+00,-1.55E+00,6.50E-01,3.40E+00,2.33E+00,-1.23E+00,1.24E+00
