dist moved,position along tape,mins,secs
0,3.81,0,36
0.9144,4.7244,1,1
0.9144,5.6388,1,32
0.9144,6.5532,2,2
1.0668,7.62,3,3
-1.0668,6.5532,3,33
-0.9144,5.6388,4,3
-0.9144,4.7244,4,31
-0.9144,3.81,5,30
-0.9144,2.8956,6,0
-0.9144,1.9812,6,30
-0.9144,1.0668,7,0
-1.0668,0,7,35
1.0668,1.0668,8,1
0.9144,1.9812,8,34
0.9144,2.8956,9,4
0.9144,3.81,9,33
