dist moved,position along tape,mins,secs
0,3.81,1,0
0.9144,4.7244,2,0
0.9144,5.6388,3,12
0.9144,6.5532,4,4
1.0668,7.62,6,15
-1.0668,6.5532,7,0
-0.9144,5.6388,8,0
-0.9144,4.7244,9,2
-0.9144,3.81,10,35
-0.9144,2.8956,11,30
-0.9144,1.9812,11,59
-0.9144,1.0668,12,33
-1.0668,0,13,35
1.0668,1.0668,13,59
0.9144,1.9812,14,30
0.9144,2.8956,15,0
0.9144,3.81,15,30
