,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
13.906318,0.231772,-74.000000,-69.000000,-72.000000,-70.000000,-74.000000,-74.000000,
14.092380,0.234873,-74.000000,-68.000000,-71.000000,-70.000000,-74.000000,-75.000000,
14.285542,0.238092,-74.000000,-69.000000,-71.000000,-71.000000,-74.000000,-76.000000,
14.478994,0.241317,-73.000000,-69.000000,-71.000000,-71.000000,-74.000000,-77.000000,
14.701242,0.245021,-72.000000,-68.000000,-71.000000,-71.000000,-75.000000,-76.000000,
14.932138,0.248869,-71.000000,-69.000000,-70.000000,-70.000000,-74.000000,-76.000000,
15.170538,0.252842,-72.000000,-68.000000,-70.000000,-70.000000,-74.000000,-74.000000,
15.360972,0.256016,-72.000000,-70.000000,-70.000000,-70.000000,-76.000000,-74.000000,
15.550273,0.259171,-71.000000,-68.000000,-69.000000,-71.000000,-75.000000,-74.000000,
15.725466,0.262091,-71.000000,-66.000000,-69.000000,-70.000000,-76.000000,-72.000000,
15.915543,0.265259,-73.000000,-64.000000,-69.000000,-71.000000,-80.000000,-70.000000,
16.160332,0.269339,-73.000000,-65.000000,-71.000000,-70.000000,-85.000000,-70.000000,
16.381973,0.273033,-75.000000,-63.000000,-77.000000,-70.000000,-79.000000,-68.000000,
16.624218,0.277070,-71.000000,-63.000000,-70.000000,-68.000000,-84.000000,-69.000000,
16.848303,0.280805,-71.000000,-65.000000,-71.000000,-71.000000,-75.000000,-70.000000,
17.069143,0.284486,-71.000000,-66.000000,-70.000000,-73.000000,-79.000000,-70.000000,
17.293348,0.288222,-72.000000,-68.000000,-71.000000,-79.000000,-79.000000,-70.000000,
17.501094,0.291685,-70.000000,-66.000000,-71.000000,-76.000000,-76.000000,-70.000000,
17.695418,0.294924,-70.000000,-66.000000,-73.000000,-83.000000,-76.000000,-72.000000,
17.903809,0.298397,-67.000000,-67.000000,-72.000000,-79.000000,-90.000000,-74.000000,
18.129338,0.302156,-67.000000,-69.000000,-76.000000,-78.000000,-76.000000,-72.000000,
18.302811,0.305047,-67.000000,-68.000000,-77.000000,-76.000000,-73.000000,-71.000000,
18.508282,0.308471,-66.000000,-69.000000,-82.000000,-74.000000,-79.000000,-71.000000,
18.752544,0.312542,-67.000000,-69.000000,-84.000000,-72.000000,-76.000000,-74.000000,
18.958779,0.315980,-67.000000,-68.000000,-88.000000,-70.000000,-77.000000,-69.000000,
19.150616,0.319177,-67.000000,-68.000000,-91.000000,-71.000000,-75.000000,-67.000000,
19.341926,0.322365,-67.000000,-68.000000,-81.000000,-70.000000,-80.000000,-68.000000,
19.555541,0.325926,-67.000000,-66.000000,-74.000000,-74.000000,-76.000000,-68.000000,
19.781904,0.329698,-68.000000,-67.000000,-73.000000,-72.000000,-76.000000,-68.000000,
19.998627,0.333310,-69.000000,-67.000000,-73.000000,-72.000000,-71.000000,-68.000000,
20.244951,0.337416,-68.000000,-67.000000,-73.000000,-76.000000,-72.000000,-68.000000,
20.449269,0.340821,-69.000000,-67.000000,-72.000000,-76.000000,-71.000000,-68.000000,
20.670727,0.344512,-68.000000,-67.000000,-73.000000,-78.000000,-70.000000,-68.000000,
20.879502,0.347992,-69.000000,-68.000000,-74.000000,-74.000000,-69.000000,-70.000000,
21.055608,0.350927,-69.000000,-66.000000,-75.000000,-76.000000,-69.000000,-68.000000,
21.245013,0.354084,-71.000000,-68.000000,-74.000000,-76.000000,-70.000000,-69.000000,
21.443997,0.357400,-70.000000,-68.000000,-73.000000,-80.000000,-70.000000,-69.000000,
21.652621,0.360877,-68.000000,-69.000000,-74.000000,-83.000000,-70.000000,-70.000000,
21.869847,0.364497,-69.000000,-69.000000,-74.000000,-80.000000,-70.000000,-70.000000,
22.095535,0.368259,-69.000000,-69.000000,-75.000000,-80.000000,-70.000000,-70.000000,
22.284864,0.371414,-69.000000,-68.000000,-75.000000,-80.000000,-70.000000,-70.000000,
22.476746,0.374612,-69.000000,-69.000000,-74.000000,-80.000000,-70.000000,-70.000000,
22.701755,0.378363,-69.000000,-68.000000,-74.000000,-81.000000,-71.000000,-70.000000,
22.879540,0.381326,-68.000000,-69.000000,-74.000000,-82.000000,-70.000000,-70.000000,
23.104155,0.385069,-68.000000,-69.000000,-73.000000,-83.000000,-70.000000,-70.000000,
23.310124,0.388502,-68.000000,-69.000000,-73.000000,-82.000000,-71.000000,-70.000000,
23.533339,0.392222,-68.000000,-68.000000,-73.000000,-82.000000,-70.000000,-70.000000,
