dist moved,position along tape,mins,secs,
0,3.81,0,33,
0.9144,4.7244,1,1,
0.9144,5.6388,1,32,
0.9144,6.5532,2,2,
1.0668,7.62,2,35,
-1.0668,6.5532,3,4,
-0.9144,5.6388,3,30,
-0.9144,4.7244,4,1,
-0.9144,3.81,4,34,
-0.9144,2.8956,5,1,
-0.9144,1.9812,5,33,
-0.9144,1.0668,6,2,
-1.0668,0,6,35,
1.0668,1.0668,7,0,
0.9144,1.9812,7,32,
0.9144,2.8956,8,0,
0.9144,3.81,8,43,end
