Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
1.000000e-01,1,2.000000e-01,1000,stratified,1.213802e+01,4.667283e+00,1.447071e+00,7.385024e-01,1.216995e+01,4.624592e+00,1.453649e+00,7.406787e-01
1.000000e-01,1,2.000000e-01,1000,residual,8.461228e+00,4.757864e+00,-4.094708e-01,5.120426e-01,8.484101e+00,4.747762e+00,-4.046594e-01,5.032477e-01
1.000000e-01,1,2.000000e-01,5000,multinomial,5.768169e+00,2.022783e+00,-8.081564e-01,5.791005e-01,5.844649e+00,2.019680e+00,-8.044461e-01,5.790348e-01
1.000000e-01,1,2.000000e-01,5000,systematic,8.788452e+00,3.533483e+00,-1.762172e+00,3.904678e-01,8.793172e+00,3.535149e+00,-1.759453e+00,3.902141e-01
1.000000e-01,1,2.000000e-01,5000,stratified,1.544764e+01,6.218572e+00,-1.168981e+00,2.075615e-01,1.545017e+01,6.213959e+00,-1.169640e+00,2.078658e-01
1.000000e-01,1,2.000000e-01,5000,residual,1.486947e+01,4.236187e+00,1.211556e+00,8.848583e-01,1.485897e+01,4.267903e+00,1.205151e+00,8.989729e-01
1.000000e-01,1,2.000000e-01,10000,multinomial,1.528277e+01,3.712495e+00,-1.874755e-01,2.642389e-01,1.528938e+01,3.700691e+00,-1.884457e-01,2.647194e-01
1.000000e-01,1,2.000000e-01,10000,systematic,1.442500e+01,3.228868e+00,1.692800e+00,2.325027e+00,1.443734e+01,3.200461e+00,1.713160e+00,2.313291e+00
1.000000e-01,1,2.000000e-01,10000,stratified,1.404976e+01,3.647620e+00,1.733706e+00,6.554281e-01,1.405914e+01,3.630156e+00,1.732548e+00,6.762693e-01
1.000000e-01,1,2.000000e-01,10000,residual,1.152695e+01,3.394227e+00,9.368730e-01,2.524004e+00,1.154498e+01,3.362849e+00,1.018614e+00,2.489363e+00
1.000000e-01,1,5.000000e-01,250,multinomial,8.557006e+00,4.036800e+00,-3.426735e-01,1.841248e+00,8.593337e+00,4.012582e+00,-3.595914e-01,1.837666e+00
1.000000e-01,1,5.000000e-01,250,systematic,1.056852e+01,5.109278e+00,-6.069329e-01,1.136588e+00,1.062847e+01,5.049612e+00,-5.733367e-01,1.186790e+00
1.000000e-01,1,5.000000e-01,250,stratified,1.859076e+01,1.175859e+01,-6.394577e-01,8.190641e-01,1.859356e+01,1.175930e+01,-6.366996e-01,8.238259e-01
1.000000e-01,1,5.000000e-01,250,residual,7.883952e+00,3.726343e+00,1.187978e-01,1.845080e+00,7.950498e+00,3.691065e+00,9.079527e-02,1.843950e+00
1.000000e-01,1,5.000000e-01,500,multinomial,1.573069e+01,8.159966e+00,1.205514e+00,1.530096e+00,1.577446e+01,8.124565e+00,1.288181e+00,1.426601e+00
1.000000e-01,1,5.000000e-01,500,systematic,1.052239e+01,6.866109e+00,-4.256356e-01,1.405872e+00,1.059245e+01,6.813295e+00,-4.163779e-01,1.408881e+00
1.000000e-01,1,5.000000e-01,500,stratified,8.476764e+00,4.253913e+00,-7.999924e-01,1.796197e+00,8.582076e+00,4.196622e+00,-7.733466e-01,1.786973e+00
1.000000e-01,1,5.000000e-01,500,residual,6.448669e+00,3.328646e+00,-8.436235e-01,1.593981e+00,6.627973e+00,3.238908e+00,-7.523770e-01,1.645133e+00
1.000000e-01,1,5.000000e-01,1000,multinomial,1.188144e+01,7.087506e+00,-7.068348e-02,1.060419e+00,1.200135e+01,6.984150e+00,-3.103529e-02,1.104280e+00
1.000000e-01,1,5.000000e-01,1000,systematic,7.289929e+00,4.126716e+00,-3.795856e-01,1.195330e+00,7.485269e+00,4.060190e+00,-2.698298e-01,1.258417e+00
1.000000e-01,1,5.000000e-01,1000,stratified,1.493338e+01,1.258178e+01,8.595234e-01,1.131122e+00,1.504309e+01,1.249695e+01,8.498256e-01,1.165309e+00
1.000000e-01,1,5.000000e-01,1000,residual,9.821290e+00,5.986862e+00,2.788947e-01,1.241898e+00,1.002701e+01,5.830709e+00,2.936882e-01,1.277070e+00
1.000000e-01,1,5.000000e-01,5000,multinomial,8.498913e+00,4.915651e+00,-7.131810e-01,1.348351e+00,8.803010e+00,4.771242e+00,-6.473119e-01,1.444750e+00
1.000000e-01,1,5.000000e-01,5000,systematic,6.526821e+00,4.532979e+00,-1.099578e+00,1.007132e+00,6.829599e+00,4.383892e+00,-1.077412e+00,1.135183e+00
1.000000e-01,1,5.000000e-01,5000,stratified,8.763312e+00,7.816988e+00,-7.845383e-01,1.307343e+00,9.010535e+00,7.704928e+00,-7.804275e-01,1.366881e+00
1.000000e-01,1,5.000000e-01,5000,residual,7.719342e+00,3.966791e+00,-7.714218e-01,1.133508e+00,8.009954e+00,3.805263e+00,-7.264673e-01,1.241471e+00
1.000000e-01,1,5.000000e-01,10000,multinomial,3.052118e+01,1.487614e+01,1.563050e+00,1.865767e+00,3.055694e+01,1.482270e+01,1.654875e+00,1.784505e+00
1.000000e-01,1,5.000000e-01,10000,systematic,7.484631e+00,4.405080e+00,-1.774534e-01,1.353554e+00,7.855191e+00,4.272200e+00,-1.242638e-02,1.504805e+00
1.000000e-01,1,5.000000e-01,10000,stratified,7.285385e+00,3.650995e+00,-8.712758e-01,1.407778e+00,7.593374e+00,3.504168e+00,-8.117525e-01,1.493333e+00
1.000000e-01,1,5.000000e-01,10000,residual,7.280221e+00,3.213133e+00,-4.950659e-01,1.348563e+00,7.725588e+00,3.108829e+00,-2.610000e-01,1.507115e+00
1.000000e-01,1,1,250,multinomial,1.447312e+01,1.113851e+01,-1.757852e-01,1.743051e+00,1.461985e+01,1.102433e+01,-1.345935e-01,1.768151e+00
1.000000e-01,1,1,250,systematic,1.033566e+01,7.389710e+00,-8.605915e-01,1.184736e+00,1.047489e+01,7.318304e+00,-8.169146e-01,1.241463e+00
1.000000e-01,1,1,250,stratified,1.209720e+01,6.734645e+00,-3.230664e-01,2.149236e+00,1.220701e+01,6.652233e+00,-2.783687e-01,2.161396e+00
1.000000e-01,1,1,250,residual,6.701220e+00,3.448907e+00,-9.770926e-01,1.427960e+00,6.887085e+00,3.345343e+00,-9.564442e-01,1.475186e+00
1.000000e-01,1,1,500,multinomial,2.851454e+01,1.558603e+01,-9.607300e-01,1.089305e+00,2.859929e+01,1.547668e+01,-9.200268e-01,1.120706e+00
1.000000e-01,1,1,500,systematic,8.212306e+00,5.758328e+00,-1.364047e+00,1.134428e+00,8.510389e+00,5.610316e+00,-1.328113e+00,1.212962e+00
1.000000e-01,1,1,500,stratified,1.031860e+01,9.432097e+00,-6.791216e-01,9.727155e-01,1.069288e+01,9.216431e+00,-6.353288e-01,1.049033e+00
1.000000e-01,1,1,500,residual,1.065566e+01,8.072765e+00,-6.456806e-01,1.651084e+00,1.092426e+01,7.921329e+00,-5.136933e-01,1.724522e+00
1.000000e-01,1,1,1000,multinomial,3.266504e+01,1.591423e+01,-1.538870e+00,5.155800e-01,3.280779e+01,1.567462e+01,-1.505153e+00,6.218518e-01
1.000000e-01,1,1,1000,systematic,4.827059e+01,2.549312e+01,-1.173531e+00,9.631173e-01,4.829711e+01,2.545612e+01,-1.196319e+00,9.327417e-01
1.000000e-01,1,1,1000,stratified,1.263691e+01,1.189986e+01,-6.165394e-01,1.335451e+00,1.304706e+01,1.167599e+01,-5.442710e-01,1.382640e+00
1.000000e-01,1,1,1000,residual,6.874228e+00,4.134397e+00,-7.053804e-01,1.480823e+00,7.507117e+00,3.917812e+00,-5.763187e-01,1.606473e+00
1.000000e-01,1,1,5000,multinomial,3.255558e+01,2.010209e+01,-9.951249e-01,2.404803e+00,3.287293e+01,1.970257e+01,-9.021975e-01,2.452250e+00
1.000000e-01,1,1,5000,systematic,6.137583e+00,4.337152e+00,-4.676433e-01,1.439798e+00,7.337373e+00,4.027517e+00,-6.137052e-02,1.615683e+00
1.000000e-01,1,1,5000,stratified,6.620709e+00,4.945096e+00,-5.779583e-01,1.844482e+00,7.803909e+00,4.603796e+00,-1.371965e-01,2.021473e+00
1.000000e-01,1,1,5000,residual,6.558897e+00,4.795030e+00,-9.009269e-01,1.604491e+00,7.751772e+00,4.360725e+00,-6.155879e-01,1.804224e+00
1.000000e-01,1,1,10000,multinomial,1.095253e+01,1.136433e+01,-2.555742e-01,1.760268e+00,1.179911e+01,1.092585e+01,-5.205780e-02,1.897725e+00
1.000000e-01,1,1,10000,systematic,9.924933e+00,8.559186e+00,-1.051594e+00,1.606935e+00,1.112494e+01,8.093775e+00,-6.597500e-01,1.892571e+00
1.000000e-01,1,1,10000,stratified,7.993613e+00,6.603094e+00,-8.133305e-01,1.694584e+00,9.202141e+00,6.231191e+00,-3.928500e-01,1.922274e+00
1.000000e-01,1,1,10000,residual,7.366098e+00,5.829669e+00,-7.553375e-01,1.390663e+00,8.468707e+00,5.427991e+00,-3.946592e-01,1.648148e+00
1.000000e-01,1,2,250,multinomial,2.111283e+01,2.369675e+01,-7.141266e-01,1.462370e+00,2.138124e+01,2.352055e+01,-6.644799e-01,1.481676e+00
1.000000e-01,1,2,250,systematic,1.006852e+01,7.686742e+00,-8.036266e-01,2.008071e+00,1.038062e+01,7.566318e+00,-7.227881e-01,2.044302e+00
1.000000e-01,1,2,250,stratified,1.126539e+01,9.631021e+00,-4.632617e-01,1.732628e+00,1.160631e+01,9.490556e+00,-3.686686e-01,1.773733e+00
1.000000e-01,1,2,250,residual,6.514123e+01,5.142156e+01,-1.495320e+00,1.027468e+00,6.516689e+01,5.139293e+01,-1.487499e+00,1.024207e+00
1.000000e-01,1,2,500,multinomial,7.528988e+00,4.648943e+00,-9.472699e-01,1.683610e+00,8.281323e+00,4.445870e+00,-7.846459e-01,1.757569e+00
1.000000e-01,1,2,500,systematic,1.082070e+01,1.045241e+01,-2.369216e-01,1.766486e+00,1.157932e+01,1.009513e+01,-1.307593e-01,1.797297e+00
1.000000e-01,1,2,500,stratified,8.231041e+00,6.388491e+00,-4.850149e-01,1.439393e+00,8.952643e+00,6.111453e+00,-3.685771e-01,1.458477e+00
1.000000e-01,1,2,500,residual,7.249438e+00,4.875502e+00,-7.093489e-01,1.484052e+00,7.963101e+00,4.649023e+00,-5.682229e-01,1.567196e+00
1.000000e-01,1,2,1000,multinomial,6.812956e+00,5.144844e+00,-9.177524e-01,1.578489e+00,8.246083e+00,4.861354e+00,-5.139297e-01,1.768382e+00
1.000000e-01,1,2,1000,systematic,8.548577e+00,8.306942e+00,-1.062547e+00,1.431403e+00,9.722388e+00,7.884181e+00,-7.399651e-01,1.610061e+00
1.000000e-01,1,2,1000,stratified,6.510190e+00,4.257952e+00,-1.099447e+00,1.476069e+00,7.808016e+00,4.019309e+00,-7.097512e-01,1.699222e+00
1.000000e-01,1,2,1000,residual,8.499421e+00,8.159364e+00,-6.329586e-01,1.890154e+00,9.653651e+00,7.847549e+00,-3.445489e-01,1.915638e+00
1.000000e-01,1,2,5000,multinomial,1.008965e+01,1.285602e+01,-6.256858e-01,1.789932e+00,1.210350e+01,1.214244e+01,-1.570907e-01,1.971869e+00
1.000000e-01,1,2,5000,systematic,9.166501e+00,9.738724e+00,-7.160769e-01,1.679194e+00,1.088402e+01,9.181341e+00,-3.677189e-01,1.862281e+00
1.000000e-01,1,2,5000,stratified,9.506192e+00,1.016130e+01,-6.289441e-01,2.000758e+00,1.107333e+01,9.652542e+00,-1.787396e-01,2.091328e+00
